0,0,0,0,-79.00177099236642,83,-83,1725496520.1433504
10,-31.17409559062204,23.222475826972012,-2.5978412992185036,-78.66970992366413,73,-73,1725496520.1537318
10,-29.942415523765266,23.197136556403734,-2.4952012936471055,-78.3656386768448,63,-63,1725496520.1636884
14,-143.17814897656046,23.075847328244276,-11.93151241471337,-76.91016793893131,49,-49,1725496520.1741416
13,-183.8658873967924,22.91910432569975,-15.322157283066035,-75.02925190839696,36,-36,1725496520.1850452
12,-227.9753292078853,22.704770144189993,-18.997944100657108,-72.4572417302799,24,-24,1725496520.2125409
13,-184.06333570923988,22.288042893493273,-15.338611309103323,-67.4565147219193,11,-11,1725496520.2393148
11,-267.8857675854769,21.691464376590332,-22.32381396545641,-60.297572519083964,0,0,1725496520.2663097
10,-264.02092153527224,21.097334464235225,-22.001743461272685,-53.16801357082273,-10,10,1725496520.2933226
12,-191.66212995606313,20.666114503816793,-15.971844163005262,-47.993374045801524,-22,22,1725496520.3203537
12,-161.64822720802135,20.30196345130696,-13.470685600668448,-43.623561415683554,-34,34,1725496520.347374
9,-260.4427044309188,19.715218135554014,-21.70355870257657,-36.582617626648165,-43,43,1725496520.3744202
9,-262.65354550498154,19.123210270645387,-21.88779545874846,-29.478523247744622,-52,52,1725496520.4014626
8,-261.20357504377415,18.534730048577376,-21.76696458698118,-22.416760582928525,-60,60,1725496520.4284945
8,-245.0242420223009,17.982798519546613,-20.418686835191743,-15.793582234559334,-68,68,1725496520.4555047
8,-234.3106958338299,17.45550266018968,-19.525891319485826,-9.466031922276198,-76,76,1725496520.4826255
8,-220.54827307411034,16.95689058524173,-18.37902275617586,-3.482687022900764,-84,84,1725496520.5096183
9,-182.26808461088388,16.54652741151978,-15.189007050906989,1.4416710617626638,-93,93,1725496520.5366254
10,-127.35569844945765,16.260152209114043,-10.612974870788138,4.878173490631505,-103,103,1725496520.5636559
10,-103.4651638724323,16.02721212121212,-8.622096989369359,7.673454545454544,-113,113,1725496520.5907307
9,-136.4177772122633,15.719150589868146,-11.368148101021943,11.370192921582232,-122,122,1725496520.6177833
8,-159.22288186148444,15.360545454545454,-13.268573488457037,15.673454545454542,-130,130,1725496520.64481
7,-208.97720832199275,14.889749710848948,-17.41476736016606,21.323003469812626,-137,137,1725496520.6718223
6,-235.78737195920496,14.358868378440897,-19.64894766326708,27.693579458709227,-143,143,1725496520.6988535
4,-281.4328386167295,13.724991441128845,-23.452736551394125,35.30010270645385,-147,147,1725496520.7259016
3,-323.52685666906206,12.995752486699052,-25,44.050970159611374,-150,150,1725496520.7529066
